日付,終値(電気機器),終値(輸送用機器),終値(情報 - 通信業),終値(卸売業),終値(銀行業),終値(化学),終値(小売業)
2003-05-15,1223.51,1263.43,1805.96,428.19,136.07,689.38,537.75
2003-05-14,1242.42,1281.68,1828.8,434.03,139.65,699.52,545.45
2003-05-13,1235.04,1275.17,1821.05,431.92,139.12,695.78,544.23
2003-05-12,1235.75,1300.08,1805.61,431.83,137.9,705.96,543.81
2003-05-09,1217.41,1297.62,1764.48,434.82,136.94,700.8,541.71
2003-05-08,1211.1,1284.87,1783.64,431.06,134.97,688.72,534.8
2003-05-07,1224.45,1303.14,1823.09,435.67,135.53,694.47,542.51
2003-05-06,1228.83,1293.22,1799.15,429.14,134.94,695.47,543.81
2003-05-02,1199.15,1269.09,1705.39,418.4,132.76,686.48,530.83
2003-05-01,1190.67,1260.52,1672.47,416.22,133.34,678.64,528.2
2003-04-30,1189.33,1264.54,1677.96,414.4,130.39,670.93,525.03
2003-04-28,1146.78,1202.22,1645.45,403.83,123.9,650.67,514.14
2003-04-25,1168.48,1209.61,1675.22,410.98,124.76,657.07,516.56
2003-04-24,1209.78,1248.41,1693.54,414.71,127.07,670.7,522.19
2003-04-23,1193.04,1237.77,1668.45,416.18,126.97,667.79,521.23
2003-04-22,1194.34,1232.6,1633.28,417.9,128.02,666.03,519.59
2003-04-21,1219.65,1247.61,1683.59,426.82,131.17,677.33,530.22
2003-04-18,1207.44,1230.71,1645.1,419.35,129.43,670.0,518.93
2003-04-17,1193.5,1222.78,1662.16,415.18,130.2,670.82,514.25
2003-04-16,1207.53,1215.81,1643.93,417.3,128.86,675.45,513.81
2003-04-15,1189.63,1223.29,1623.34,415.7,130.0,669.01,516.8
2003-04-14,1156.77,1190.08,1581.16,412.39,127.29,662.54,507.02
2003-04-11,1171.81,1191.96,1633.39,420.82,128.59,668.05,513.95
2003-04-10,1202.6,1219.79,1655.18,423.23,127.8,676.64,526.34
2003-04-09,1222.24,1236.84,1670.15,427.22,129.41,683.44,531.12
2003-04-08,1242.38,1240.78,1666.59,428.69,128.99,684.09,530.86
2003-04-07,1264.12,1264.8,1644.03,426.03,132.3,692.13,532.86
2003-04-04,1235.29,1232.41,1592.42,422.08,128.92,684.83,522.98
2003-04-03,1231.27,1236.25,1609.76,422.92,127.41,687.51,521.17
2003-04-02,1231.91,1237.0,1599.97,423.06,130.63,689.65,524.71
2003-04-01,1218.08,1232.19,1572.05,418.4,131.39,674.4,518.63
2003-03-31,1221.31,1218.16,1545.53,419.01,133.15,682.95,523.24
2003-03-28,1267.25,1277.25,1654.66,432.6,137.9,706.45,539.63
2003-03-27,1290.26,1297.99,1650.57,431.89,139.68,709.43,534.37
2003-03-26,1288.38,1306.61,1624.46,430.64,138.35,713.03,528.09
2003-03-25,1276.93,1281.22,1603.14,423.58,137.35,700.88,517.05
2003-03-24,1316.92,1325.67,1687.46,429.43,139.49,714.52,525.91
2003-03-20,1274.84,1289.83,1619.83,419.63,135.93,698.17,512.39
2003-03-19,1254.23,1254.27,1549.62,408.52,133.67,681.77,501.22
2003-03-18,1243.48,1240.37,1532.58,410.77,132.76,672.56,498.25
2003-03-17,1218.63,1226.84,1550.59,408.73,131.66,665.02,494.75
2003-03-14,1239.13,1235.44,1543.86,419.25,135.53,667.73,504.56
2003-03-13,1204.1,1219.73,1490.62,415.94,136.84,661.13,501.19
2003-03-12,1210.04,1235.72,1525.48,417.09,136.26,664.27,496.32
2003-03-11,1190.33,1213.36,1452.09,412.82,134.02,662.06,491.27
2003-03-10,1223.14,1245.23,1493.79,419.56,135.43,674.09,490.14
2003-03-07,1249.55,1247.93,1527.22,427.77,138.36,687.41,495.59
2003-03-06,1278.23,1268.27,1589.7,440.87,141.7,706.92,511.93
2003-03-05,1293.51,1288.58,1619.2,442.6,140.81,707.67,512.13
2003-03-04,1302.45,1309.42,1628.23,446.64,141.5,711.17,515.26
2003-03-03,1300.99,1313.85,1622.13,447.01,138.61,710.05,510.39
2003-02-28,1281.53,1287.78,1591.32,437.82,141.79,704.3,503.8
2003-02-27,1281.84,1285.55,1607.37,432.59,143.35,703.07,506.35
2003-02-26,1288.82,1288.14,1604.24,433.13,142.03,701.89,507.71
2003-02-25,1291.02,1286.17,1607.16,434.35,143.31,700.73,510.83
2003-02-24,1319.23,1323.33,1638.04,444.76,148.44,714.48,528.68
2003-02-21,1315.24,1323.75,1675.19,446.6,148.84,710.87,528.85
2003-02-20,1330.36,1341.67,1685.28,448.63,150.0,717.82,536.06
2003-02-19,1332.02,1338.27,1682.55,451.18,154.89,718.84,540.23
2003-02-18,1331.2,1325.5,1702.59,457.28,158.3,720.33,539.44
2003-02-17,1343.38,1340.31,1729.16,460.94,161.86,724.01,545.73
2003-02-14,1328.16,1338.55,1719.21,455.58,162.75,718.91,548.15
2003-02-13,1313.48,1331.46,1709.15,449.81,162.9,715.38,545.7
2003-02-12,1327.61,1343.32,1697.06,452.28,160.96,724.17,548.74
2003-02-10,1303.34,1325.64,1647.08,444.88,156.34,713.21,538.86
2003-02-07,1296.37,1322.61,1618.99,439.61,156.03,714.82,535.9
2003-02-06,1305.82,1323.34,1603.72,438.62,156.59,713.67,538.35
2003-02-05,1322.63,1328.17,1621.45,439.65,157.96,716.32,543.25
2003-02-04,1320.09,1323.12,1619.7,442.98,159.39,710.79,543.8
2003-02-03,1320.57,1320.7,1583.71,434.15,157.71,706.77,538.52
2003-01-31,1289.82,1283.03,1598.91,423.67,151.43,696.55,531.67
2003-01-30,1296.54,1279.0,1649.99,424.54,152.77,692.28,523.51
2003-01-29,1290.63,1289.16,1625.21,422.01,154.07,689.23,534.36
2003-01-28,1323.23,1314.98,1630.3,431.04,158.8,700.9,546.7
2003-01-27,1337.97,1322.9,1654.08,441.36,161.32,703.43,554.47
2003-01-24,1371.17,1327.25,1715.55,444.76,164.86,710.42,557.57
2003-01-23,1386.28,1340.89,1727.55,443.08,165.2,716.19,561.04
2003-01-22,1355.43,1330.02,1707.51,433.53,162.34,709.88,556.09
2003-01-21,1362.57,1351.96,1739.34,434.82,164.69,718.81,565.06
2003-01-20,1344.24,1333.44,1712.95,431.87,162.78,708.14,559.67
2003-01-17,1365.85,1351.63,1743.89,429.53,162.53,712.24,557.92
2003-01-16,1351.22,1357.28,1754.54,421.22,161.07,714.22,557.42
2003-01-15,1351.56,1361.29,1746.18,412.91,158.85,713.23,561.68
2003-01-14,1344.5,1355.75,1696.68,407.2,154.05,708.6,558.53
2003-01-10,1327.77,1359.46,1650.07,407.56,151.4,700.16,556.31
2003-01-09,1323.37,1366.4,1662.06,408.43,150.94,704.14,561.19
2003-01-08,1328.53,1374.21,1645.12,410.25,151.25,699.8,563.06
2003-01-07,1351.38,1392.22,1650.64,420.63,154.93,714.01,571.42
2003-01-06,1348.47,1391.92,1638.04,421.77,158.47,715.97,583.64
2002-12-30,1317.45,1369.96,1584.42,411.56,155.5,710.27,575.65
2002-12-27,1342.26,1371.48,1603.88,415.94,156.34,714.99,577.28
2002-12-26,1350.33,1367.37,1591.93,410.44,154.31,706.28,571.38
2002-12-25,1321.42,1344.19,1572.15,400.17,152.81,687.63,560.18
2002-12-24,1320.61,1355.27,1600.82,400.14,153.11,692.41,561.15
2002-12-20,1297.61,1339.05,1581.66,398.13,152.27,683.15,557.33
2002-12-19,1310.9,1343.87,1607.78,401.89,151.6,682.51,546.46
2002-12-18,1306.43,1335.51,1587.58,399.97,148.34,677.95,544.78
2002-12-17,1331.03,1366.3,1611.34,405.04,154.06,690.83,554.66
2002-12-16,1321.91,1370.23,1596.77,402.99,149.79,689.42,546.3
2002-12-13,1342.66,1374.57,1616.34,407.97,151.88,693.4,551.08
2002-12-12,1376.12,1394.29,1654.94,411.5,155.45,713.42,560.27
2002-12-11,1380.28,1385.24,1668.97,412.75,155.54,716.24,561.42
2002-12-10,1383.67,1387.68,1678.57,415.53,157.36,718.15,569.53
2002-12-09,1404.11,1385.76,1677.49,413.3,155.98,713.5,565.75
2002-12-06,1411.26,1391.86,1709.63,417.2,159.61,714.37,573.91
2002-12-05,1411.3,1394.15,1728.53,421.26,161.13,716.26,579.33
2002-12-04,1423.4,1406.43,1747.04,423.8,163.12,717.94,590.12
2002-12-03,1472.45,1416.98,1803.4,429.56,167.02,732.79,596.27
2002-12-02,1459.32,1407.21,1743.66,431.39,169.74,727.22,604.14
2002-11-29,1459.92,1404.08,1765.01,433.76,168.09,732.29,616.26
2002-11-28,1445.23,1408.77,1780.57,433.34,167.02,723.53,611.73
2002-11-27,1390.85,1392.65,1683.11,424.81,165.3,710.61,597.11
2002-11-26,1398.33,1382.72,1700.38,417.54,162.7,709.8,583.8
2002-11-25,1406.44,1394.38,1724.21,420.83,164.69,718.93,597.06
2002-11-22,1391.66,1374.59,1668.82,407.55,164.7,704.43,579.78
2002-11-21,1367.66,1365.39,1615.49,406.14,166.88,701.28,561.26
2002-11-20,1325.51,1380.31,1569.7,397.07,156.14,689.1,549.75
2002-11-19,1315.31,1362.29,1544.89,383.99,150.02,685.29,534.02
2002-11-18,1303.05,1350.81,1581.57,384.02,156.61,683.37,537.27
2002-11-15,1326.7,1374.45,1631.17,395.71,160.46,688.36,550.05
2002-11-14,1282.91,1337.6,1589.48,389.2,159.05,674.15,545.41
2002-11-13,1292.52,1339.83,1607.23,400.22,165.76,679.45,556.44
2002-11-12,1298.75,1329.88,1567.85,408.36,167.09,683.33,561.52
2002-11-11,1316.43,1320.99,1531.91,405.56,167.64,684.78,551.9
