Date,Price,Open,High,Low,Vol.,Change %
2018-04-13,"1,729.36","1,728.15","1,735.82","1,724.93",1.53B,0.63%
2018-04-16,"1,736.22","1,732.09","1,737.57","1,729.04",1.31B,0.40%
2018-04-17,"1,729.98","1,733.38","1,737.92","1,726.68",1.35B,-0.36%
2018-04-18,"1,749.67","1,733.74","1,751.65","1,733.06",1.46B,1.14%
2018-04-19,"1,750.18","1,756.57","1,761.61","1,748.93",1.58B,0.03%
2018-04-20,"1,751.13","1,748.41","1,756.79","1,745.28",1.42B,0.05%
2018-04-23,"1,750.79","1,753.16","1,757.46","1,749.04",1.34B,-0.02%
2018-04-24,"1,769.75","1,762.87","1,770.30","1,756.39",1.47B,1.08%
2018-04-25,"1,767.73","1,758.81","1,769.32","1,756.45",1.42B,-0.11%
2018-04-26,"1,772.13","1,772.90","1,774.28","1,768.02",1.52B,0.25%
2018-04-27,"1,777.23","1,778.56","1,780.38","1,771.58",1.88B,0.29%
2018-05-01,"1,774.18","1,774.36","1,775.14","1,767.57",1.77B,-0.17%
2018-05-02,"1,771.52","1,776.89","1,776.89","1,768.18",1.45B,-0.15%
2018-05-07,"1,773.18","1,774.26","1,774.29","1,764.11",1.48B,0.09%
2018-05-08,"1,779.82","1,772.37","1,785.04","1,772.01",1.66B,0.37%
2018-05-09,"1,772.91","1,776.59","1,778.23","1,767.87",1.73B,-0.39%
2018-05-10,"1,777.62","1,777.22","1,779.08","1,772.00",1.54B,0.27%
2018-05-11,"1,794.96","1,781.42","1,795.55","1,780.45",1.66B,0.98%
2018-05-14,"1,805.92","1,792.95","1,807.01","1,791.59",1.52B,0.61%
2018-05-15,"1,805.15","1,808.70","1,812.30","1,804.11",1.73B,-0.04%
2018-05-16,"1,800.35","1,799.15","1,806.27","1,798.58",1.63B,-0.27%
2018-05-17,"1,808.37","1,807.47","1,811.93","1,805.10",1.47B,0.45%
2018-05-18,"1,815.25","1,812.91","1,816.44","1,808.20",1.30B,0.38%
2018-05-21,"1,813.75","1,815.23","1,819.74","1,812.86",1.29B,-0.08%
2018-05-22,"1,809.57","1,813.41","1,813.41","1,807.73",1.28B,-0.23%
2018-05-23,"1,797.31","1,803.67","1,810.84","1,791.72",1.49B,-0.68%
2018-05-24,"1,775.65","1,790.77","1,792.02","1,771.83",1.54B,-1.21%
2018-05-25,"1,771.70","1,770.02","1,775.71","1,766.56",1.33B,-0.22%
2018-05-28,"1,770.42","1,771.50","1,775.76","1,766.23",1.06B,-0.07%
2018-05-29,"1,761.85","1,766.71","1,769.07","1,755.19",1.31B,-0.48%
2018-05-30,"1,736.13","1,738.54","1,740.89","1,731.28",1.59B,-1.46%
2018-05-31,"1,747.45","1,746.92","1,750.49","1,740.71",2.26B,0.65%
2018-06-01,"1,749.17","1,742.65","1,756.58","1,739.85",1.61B,0.10%
2018-06-04,"1,774.69","1,765.77","1,778.23","1,764.22",1.48B,1.46%
2018-06-05,"1,774.96","1,779.56","1,782.64","1,770.93",1.55B,0.02%
2018-06-06,"1,777.59","1,774.89","1,780.42","1,771.94",1.39B,0.15%
2018-06-07,"1,789.01","1,786.61","1,790.23","1,784.56",1.43B,0.64%
2018-06-08,"1,781.44","1,782.06","1,792.43","1,781.44",1.61B,-0.42%
2018-06-11,"1,786.84","1,781.46","1,790.73","1,778.62",1.13B,0.30%
2018-06-12,"1,792.82","1,798.98","1,801.19","1,786.64",1.24B,0.33%
2018-06-13,"1,800.37","1,794.43","1,802.94","1,794.39",1.20B,0.42%
2018-06-14,"1,783.89","1,791.65","1,794.40","1,783.89",1.50B,-0.92%
2018-06-15,"1,789.04","1,793.52","1,793.80","1,785.43",1.68B,0.29%
2018-06-18,"1,771.43","1,784.37","1,784.37","1,764.99",1.35B,-0.98%
2018-06-19,"1,743.92","1,763.46","1,768.53","1,743.92",1.49B,-1.55%
2018-06-20,"1,752.75","1,745.01","1,755.03","1,728.49",1.59B,0.51%
2018-06-21,"1,750.63","1,750.69","1,758.74","1,747.47",1.40B,-0.12%
2018-06-22,"1,744.83","1,734.44","1,745.77","1,732.51",1.59B,-0.33%
2018-06-25,"1,728.27","1,747.84","1,748.16","1,726.12",1.20B,-0.95%
2018-06-26,"1,731.07","1,717.27","1,732.82","1,711.75",1.35B,0.16%
2018-06-27,"1,731.45","1,730.48","1,735.35","1,723.06",1.37B,0.02%
2018-06-28,"1,727.00","1,726.29","1,728.43","1,716.12",1.40B,-0.26%
2018-06-29,"1,730.89","1,729.71","1,732.10","1,717.88",1.29B,0.23%
2018-07-02,"1,695.29","1,725.55","1,730.03","1,694.02",1.37B,-2.06%
2018-07-03,"1,692.80","1,701.20","1,703.02","1,681.06",1.48B,-0.15%
2018-07-04,"1,693.25","1,686.47","1,698.39","1,684.40",1.31B,0.03%
2018-07-05,"1,676.20","1,690.12","1,691.08","1,671.95",1.40B,-1.01%
2018-07-06,"1,691.54","1,685.50","1,697.60","1,683.98",1.39B,0.92%
2018-07-09,"1,711.79","1,697.06","1,713.38","1,695.88",1.22B,1.20%
2018-07-10,"1,716.13","1,723.84","1,731.21","1,716.13",1.52B,0.25%
2018-07-11,"1,701.88","1,703.52","1,706.31","1,688.36",1.37B,-0.83%
2018-07-12,"1,709.68","1,708.08","1,715.48","1,705.92",1.19B,0.46%
2018-07-13,"1,730.07","1,721.01","1,734.22","1,717.07",1.28B,1.19%
2018-07-17,"1,745.05","1,734.56","1,753.93","1,731.84",1.40B,0.87%
2018-07-18,"1,751.21","1,759.88","1,761.24","1,749.35",1.15B,0.35%
2018-07-19,"1,749.59","1,754.25","1,760.35","1,749.25",1.21B,-0.09%
2018-07-20,"1,744.98","1,747.48","1,755.82","1,735.56",1.26B,-0.26%
2018-07-23,"1,738.70","1,736.10","1,748.06","1,735.74",1.40B,-0.36%
2018-07-24,"1,746.86","1,749.10","1,751.16","1,743.50",1.25B,0.47%
2018-07-25,"1,753.48","1,752.62","1,757.47","1,751.83",1.14B,0.38%
2018-07-26,"1,765.78","1,766.91","1,770.35","1,761.56",1.25B,0.70%
2018-07-27,"1,775.76","1,770.47","1,775.76","1,767.67",1.38B,0.57%
2018-07-30,"1,768.15","1,770.48","1,772.60","1,764.10",1.45B,-0.43%
2018-07-31,"1,753.29","1,764.01","1,768.76","1,749.37",1.97B,-0.84%
2018-08-01,"1,769.76","1,762.92","1,772.81","1,756.98",1.77B,0.94%
2018-08-02,"1,752.09","1,768.26","1,774.34","1,749.86",1.64B,-1.00%
2018-08-03,"1,742.58","1,755.75","1,755.86","1,740.93",1.40B,-0.54%
